artist,song,decade
Marilyn Martin,Separate Lives,1980
Mr. Mister,Broken Wings,1980
Lionel Richie,"Say You, Say Me",1980
Dionne Warwick,That's What Friends Are For,1980
Whitney Houston,How Will I Know,1980
Mr. Mister,Kyrie,1980
Starship,Sara,1980
Heart,These Dreams,1980
Falco,Rock Me Amadeus,1980
Prince and the Revolution,Kiss,1980
Robert Palmer,Addicted to Love,1980
Pet Shop Boys,West End Girls,1980
Whitney Houston,Greatest Love of All,1980
Madonna,Live to Tell,1980
Patti LaBelle,On My Own,1980
Billy Ocean,There'll Be Sad Songs (To Make You Cry),1980
Simply Red,Holding Back the Years,1980
Genesis,Invisible Touch,1980
Peter Gabriel,Sledgehammer,1980
Peter Cetera,Glory of Love,1980
Madonna,Papa Don't Preach,1980
Steve Winwood,Higher Love,1980
Bananarama,Venus,1980
Berlin,Take My Breath Away,1980
Huey Lewis and the News,Stuck with You,1980
Janet Jackson,When I Think of You,1980
Cyndi Lauper,True Colors,1980
Boston,Amanda,1980
Human League,Human,1980
Bon Jovi,You Give Love a Bad Name,1980
Amy Grant,The Next Time I Fall,1980
Bruce Hornsby & the Range,The Way It Is,1980
The Bangles,Walk Like an Egyptian,1980
Gregory Abbott,Shake You Down,1980
Billy Vera and the Beaters,At This Moment,1980
Madonna,Open Your Heart,1980
Bon Jovi,Livin' on a Prayer,1980
Huey Lewis and the News,Jacob's Ladder,1980
Club Nouveau,Lean on Me,1980
Starship,Nothing's Gonna Stop Us Now,1980
Aretha Franklin,I Knew You Were Waiting (for Me),1980
Cutting Crew,(I Just) Died in Your Arms,1980
U2,With or Without You,1980
Kim Wilde,You Keep Me Hangin' On,1980
Atlantic Starr,Always,1980
Lisa Lisa and Cult Jam,Head to Toe,1980
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),1980
Heart,Alone,1980
Bob Seger,Shakedown,1980
U2,I Still Haven't Found What I'm Looking For,1980
Madonna,Who's That Girl,1980
Los Lobos,La Bamba,1980
Michael Jackson,I Just Can't Stop Loving You,1980
Whitney Houston,Didn't We Almost Have It All,1980
Whitesnake,Here I Go Again,1980
Lisa Lisa and Cult Jam,Lost in Emotion,1980
Michael Jackson,Bad,1980
Tiffany,I Think We're Alone Now,1980
Billy Idol,Mony Mony,1980
Bill Medley,(I've Had) The Time of My Life,1980
Belinda Carlisle,Heaven Is a Place on Earth,1980
"George Michael
",Faith,1980
Whitney Houston,So Emotional,1980
George Harrison,Got My Mind Set on You,1980
Michael Jackson,The Way You Make Me Feel,1980
INXS,Need You Tonight,1980
Tiffany,Could've Been,1980
Exposé,Seasons Change,1980
George Michael,Father Figure,1980
Rick Astley,Never Gonna Give You Up,1980
Michael Jackson,Man in the Mirror,1980
Billy Ocean,"Get Outta My Dreams, Get into My Car",1980
Whitney Houston,Where Do Broken Hearts Go,1980
Terence Trent D'Arby,Wishing Well,1980
Gloria Estefan,Anything for You,1980
George Michael,One More Try,1980
Rick Astley,Together Forever,1980
Debbie Gibson,Foolish Beat,1980
Michael Jackson,Dirty Diana,1980
Cheap Trick,The Flame,1980
Richard Marx,Hold On to the Nights,1980
Steve Winwood,Roll with It,1980
George Michael,Monkey,1980
Guns N' Roses,Sweet Child o' Mine,1980
Bobby McFerrin,"Don't Worry, Be Happy",1980
Def Leppard,Love Bites,1980
UB40,Red Red Wine,1980
Phil Collins,A Groovy Kind of Love,1980
The Beach Boys,Kokomo,1980
The Escape Club,"Wild, Wild West",1980
Bon Jovi,Bad Medicine,1980
Will to Power,"Baby, I Love Your Way / Freebird Medley (Free Baby)",1980
Chicago,Look Away,1980
Poison,Every Rose Has Its Thorn,1980
Bobby Brown,My Prerogative,1980
Phil Collins,Two Hearts,1980
Sheriff,When I'm with You,1980
Paula Abdul,Straight Up,1980
Debbie Gibson,Lost in Your Eyes,1980
Mike + The Mechanics,The Living Years,1980
The Bangles,Eternal Flame,1980
Roxette,The Look,1980
Fine Young Cannibals,She Drives Me Crazy,1980
Madonna,Like a Prayer,1980
Bon Jovi,I'll Be There for You,1980
Paula Abdul,Forever Your Girl,1980
Michael Damian,Rock On,1980
Bette Midler,Wind Beneath My Wings,1980
New Kids on the Block,I'll Be Loving You (Forever),1980
Richard Marx,Satisfied,1980
Milli Vanilli,Baby Don't Forget My Number,1980
Fine Young Cannibals,Good Thing,1980
Simply Red,If You Don't Know Me by Now,1980
Martika,Toy Soldiers,1980
Prince,Batdance,1980
Richard Marx,Right Here Waiting,1980
Paula Abdul,Cold Hearted,1980
New Kids on the Block,Hangin' Tough,1980
Gloria Estefan,Don't Wanna Lose You,1980
Milli Vanilli,Girl I'm Gonna Miss You,1980
Janet Jackson,Miss You Much,1980
Roxette,Listen to Your Heart,1980
Bad English,When I See You Smile,1980
Milli Vanilli,Blame It on the Rain,1980
Billy Joel,We Didn't Start the Fire,1980
Phil Collins,Another Day in Paradise,1980
Michael Bolton,How Am I Supposed to Live Without You,1990
Paula Abdul,Opposites Attract,1990
Janet Jackson,Escapade,1990
Alannah Myles,Black Velvet,1990
Taylor Dayne,Love Will Lead You Back,1990
Tommy Page,I'll Be Your Everything,1990
Sinéad O'Connor,Nothing Compares 2 U,1990
Madonna,Vogue,1990
Wilson Phillips,Hold On,1990
Roxette,It Must Have Been Love,1990
New Kids on the Block,Step By Step,1990
Glenn Medeiros,She Ain't Worth It,1990
Mariah Carey,Vision of Love,1990
Sweet Sensation,If Wishes Came True,1990
Jon Bon Jovi,Blaze Of Glory,1990
Wilson Phillips,Release Me,1990
Nelson,(Can't Live Without Your) Love And Affection,1990
Maxi Priest,Close To You,1990
George Michael,Praying for Time,1990
James Ingram,I Don't Have the Heart,1990
Janet Jackson,Black Cat,1990
Vanilla Ice,Ice Ice Baby,1990
Mariah Carey,Love Takes Time,1990
Whitney Houston,I'm Your Baby Tonight,1990
Stevie B,Because I Love You (The Postman Song),1990
Madonna,Justify My Love,1990
Janet Jackson,Love Will Never Do (Without You),1990
Surface,The First Time,1990
C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now),1990
Whitney Houston,All the Man That I Need,1990
Mariah Carey,Someday,1990
Timmy T,One More Try,1990
Gloria Estefan,Coming Out of the Dark,1990
Londonbeat,I've Been Thinking About You,1990
Wilson Phillips,You're in Love,1990
Amy Grant,Baby Baby,1990
Roxette,Joyride,1990
Hi-Five,I Like the Way (The Kissing Game),1990
Mariah Carey,I Don't Wanna Cry,1990
Extreme,More Than Words,1990
Paula Abdul,Rush Rush,1990
EMF,Unbelievable,1990
Bryan Adams,(Everything I Do) I Do It for You,1990
Paula Abdul,The Promise of a New Day,1990
Color Me Badd,I Adore Mi Amor,1990
Marky Mark & the Funky Bunch,Good Vibrations,1990
Mariah Carey,Emotions,1990
Karyn White,Romantic,1990
Prince,Cream,1990
Michael Bolton,When A Man Loves A Woman,1990
P.M. Dawn,Set Adrift on Memory Bliss,1990
Michael Jackson,Black or White,1990
Color Me Badd,All 4 Love,1990
George Michael,Don't Let The Sun Go Down On Me,1990
Right Said Fred,I'm Too Sexy,1990
Mr. Big,To Be With You,1990
Vanessa Williams,Save the Best for Last,1990
Kris Kross,Jump,1990
Mariah Carey,I'll Be There,1990
Sir Mix-A-Lot,Baby Got Back,1990
Madonna,This Used To Be My Playground,1990
Boyz II Men,End of the Road,1990
The Heights,How Do You Talk To An Angel,1990
Whitney Houston,I Will Always Love You,1990
Peabo Bryson,A Whole New World,1990
Snow,Informer,1990
Silk,Freak Me,1990
Janet Jackson,That's The Way Love Goes,1990
SWV,Weak,1990
UB40,(I Can't Help) Falling in Love with You,1990
Mariah Carey,Dreamlover,1990
Meat Loaf,I'd Do Anything for Love (But I Won't Do That),1990
Janet Jackson,Again,1990
Mariah Carey,Hero,1990
Bryan Adams,All For Love,1990
Céline Dion,The Power Of Love,1990
Ace Of Base,The Sign,1990
R. Kelly,Bump n' Grind,1990
All-4-One,I Swear,1990
Lisa Loeb & Nine Stories,Stay (I Missed You),1990
Boyz II Men,I'll Make Love to You,1990
Boyz II Men,On Bended Knee,1990
Ini Kamoze,Here Comes the Hotstepper,1990
TLC,Creep,1990
Madonna,Take A Bow,1990
Montell Jordan,This Is How We Do It,1990
Bryan Adams,Have You Ever Really Loved A Woman,1990
TLC,Waterfalls,1990
Seal,Kiss from a Rose,1990
Michael Jackson,You Are Not Alone,1990
Coolio,Gangsta's Paradise,1990
Mariah Carey,Fantasy,1990
Whitney Houston,Exhale (Shoop Shoop),1990
Mariah Carey & Boyz II Men,One Sweet Day,1990
Céline Dion,Because You Loved Me,1990
Mariah Carey,Always Be My Baby,1990
Bone Thugs-N-Harmony,Tha Crossroads,1990
2Pac,How Do U Want It,1990
Toni Braxton,You're Makin' Me High,1990
Los Del Rio,Macarena (Bayside Boys Mix),1990
Blackstreet,No Diggity,1990
Toni Braxton,Un-Break My Heart,1990
Spice Girls,Wannabe,1990
Puff Daddy,Can't Nobody Hold Me Down,1990
The Notorious B.I.G.,Hypnotize,1990
Hanson,MMMBop,1990
Faith Evans,I'll Be Missing You,1990
The Notorious B.I.G. featuring Puff Daddy & Mase,Mo Money Mo Problems,1990
Mariah Carey,Honey,1990
Boyz II Men,4 Seasons of Loneliness,1990
Elton John,Candle in the Wind '97,1990
Savage Garden,Truly Madly Deeply,1990
Janet Jackson,Together Again,1990
Usher,Nice & Slow,1990
Céline Dion,My Heart Will Go On,1990
Will Smith,Gettin' Jiggy Wit It,1990
K-Ci & JoJo,All My Life,1990
Next,Too Close,1990
Mariah Carey,My All,1990
Brandy,The Boy Is Mine,1990
Aerosmith,I Don't Want to Miss a Thing,1990
Monica,The First Night,1990
Barenaked Ladies,One Week,1990
Lauryn Hill,Doo Wop (That Thing),1990
Divine,Lately,1990
R. Kelly,I'm Your Angel,1990
Brandy,Have You Ever,1990
Britney Spears,Baby One More Time,1990
Monica,Angel of Mine,1990
Cher,Believe,1990
TLC,No Scrubs,1990
Ricky Martin,Livin' la Vida Loca,1990
Jennifer Lopez,If You Had My Love,1990
Destiny's Child,"Bills, Bills, Bills",1990
Will Smith,Wild Wild West,1990
Christina Aguilera,Genie in a Bottle,1990
Enrique Iglesias,Bailamos,1990
TLC,Unpretty,1990
Mariah Carey,Heartbreaker,1990
Santana,Smooth,1990
Christina Aguilera,What a Girl Wants,2000
Savage Garden,I Knew I Loved You,2000
Mariah Carey featuring Joe and 98 Degrees,Thank God I Found You,2000
Lonestar,Amazed,2000
Destiny's Child,Say My Name,2000
Santana featuring The Product G&B,Maria Maria,2000
Aaliyah,Try Again,2000
Enrique Iglesias,Be With You,2000
Vertical Horizon,Everything You Want,2000
Matchbox Twenty,Bent,2000
'N Sync,It's Gonna Be Me,2000
Sisqó,Incomplete,2000
Janet Jackson,Doesn't Really Matter,2000
Madonna,Music,2000
Christina Aguilera,Come On Over Baby (All I Want Is You),2000
Creed,With Arms Wide Open,2000
Destiny's Child,Independent Women,2000
Shaggy featuring Ricardo 'Rikrok' Ducent,It Wasn't Me,2000
Outkast,Ms. Jackson,2000
Joe featuring Mystikal,Stutter,2000
Crazy Town,Butterfly,2000
Shaggy featuring Rayvon,Angel,2000
Janet Jackson,All For You,2000
"Christina Aguilera, Lil' Kim, Mýa and Pink",Lady Marmalade,2000
Usher,U Remind Me,2000
Destiny's Child,Bootylicious,2000
Alicia Keys,Fallin',2000
Jennifer Lopez featuring Ja Rule,I'm Real,2000
Mary J. Blige,Family Affair,2000
Usher,U Got It Bad,2000
Nickelback,How You Remind Me,2000
Ja Rule featuring Ashanti,Always on Time,2000
Jennifer Lopez featuring Ja Rule,Ain't It Funny,2000
Ashanti,Foolish,2000
Nelly,Hot in Herre,2000
Nelly featuring Kelly Rowland,Dilemma,2000
Kelly Clarkson,A Moment Like This,2000
Eminem,Lose Yourself,2000
B2K featuring P. Diddy,"Bump, Bump, Bump",2000
Jennifer Lopez featuring LL Cool J,All I Have,2000
50 Cent,In da Club,2000
Sean Paul,Get Busy,2000
50 Cent featuring Nate Dogg,21 Questions,2000
Clay Aiken,This Is the Night,2000
Beyoncé featuring Jay-Z,Crazy in Love,2000
"Nelly, P. Diddy and Murphy Lee",Shake Ya Tailfeather,2000
Beyoncé featuring Sean Paul,Baby Boy,2000
Ludacris featuring Shawnna,Stand Up,2000
Outkast,Hey Ya!,2000
Outkast featuring Sleepy Brown,The Way You Move,2000
Twista featuring Kanye West and Jamie Foxx,Slow Jamz,2000
Usher featuring Lil Jon and Ludacris,Yeah!,2000
Usher,Burn,2000
Fantasia,I Believe,2000
Usher,Confessions Part II,2000
Juvenile featuring Soulja Slim,Slow Motion,2000
Terror Squad,Lean Back,2000
Ciara featuring Petey Pablo,Goodies,2000
Usher and Alicia Keys,My Boo,2000
Snoop Dogg featuring Pharrell,Drop It Like It's Hot,2000
Mario,Let Me Love You,2000
50 Cent featuring Olivia,Candy Shop,2000
Gwen Stefani,Hollaback Girl,2000
Mariah Carey,We Belong Together,2000
Carrie Underwood,Inside Your Heaven,2000
Kanye West featuring Jamie Foxx,Gold Digger,2000
Chris Brown,Run It!,2000
Mariah Carey,Don't Forget About Us,2000
D4L,Laffy Taffy,2000
"Nelly featuring Paul Wall, Ali and Gipp",Grillz,2000
Beyoncé featuring Slim Thug,Check on It,2000
James Blunt,You're Beautiful,2000
Ne-Yo,So Sick,2000
Sean Paul,Temperature,2000
Daniel Powter,Bad Day,2000
Rihanna,SOS,2000
Chamillionaire featuring Krayzie Bone,Ridin',2000
Shakira featuring Wyclef Jean,Hips Don't Lie,2000
Taylor Hicks,Do I Make You Proud,2000
Nelly Furtado featuring Timbaland,Promiscuous,2000
Fergie,London Bridge,2000
Justin Timberlake,SexyBack,2000
Ludacris featuring Pharrell,Money Maker,2000
Justin Timberlake featuring T.I.,My Love,2000
Akon featuring Snoop Dogg,I Wanna Love You,2000
Beyoncé,Irreplaceable,2000
Nelly Furtado,Say It Right,2000
Justin Timberlake,What Goes Around... Comes Around,2000
Mims,This Is Why I'm Hot,2000
Fergie featuring Ludacris,Glamorous,2000
Akon,Don't Matter,2000
Timbaland featuring Nelly Furtado and Justin Timberlake,Give It To Me,2000
Avril Lavigne,Girlfriend,2000
Maroon 5,Makes Me Wonder,2000
T-Pain featuring Yung Joc,Buy U a Drank (Shawty Snappin'),2000
Rihanna featuring Jay-Z,Umbrella,2000
Plain White T's,Hey There Delilah,2000
Sean Kingston,Beautiful Girls,2000
Fergie,Big Girls Don't Cry,2000
Soulja Boy,Crank That (Soulja Boy),2000
Kanye West,Stronger,2000
Chris Brown featuring T-Pain,Kiss Kiss,2000
Alicia Keys,No One,2000
Flo Rida featuring T-Pain,Low,2000
Usher featuring Young Jeezy,Love in This Club,2000
Leona Lewis,Bleeding Love,2000
Mariah Carey,Touch My Body,2000
Lil Wayne featuring Static Major,Lollipop,2000
Rihanna,Take a Bow,2000
Coldplay,Viva la Vida,2000
Katy Perry,I Kissed a Girl,2000
Rihanna,Disturbia,2000
T.I.,Whatever You Like,2000
Pink,So What,2000
T.I. featuring Rihanna,Live Your Life,2000
Britney Spears,Womanizer,2000
Beyoncé,Single Ladies (Put a Ring on It),2000
Lady Gaga featuring Colby O'Donis,Just Dance,2000
Kelly Clarkson,My Life Would Suck Without You,2000
Eminem featuring Dr. Dre and 50 Cent,Crack a Bottle,2000
Flo Rida,Right Round,2000
Lady Gaga,Poker Face,2000
The Black Eyed Peas,Boom Boom Pow,2000
The Black Eyed Peas,I Gotta Feeling,2000
Jay Sean featuring Lil Wayne,Down,2000
Britney Spears,3,2000
Owl City,Fireflies,2000
Jason Derulo,Whatcha Say,2000
Jay-Z featuring Alicia Keys,Empire State of Mind,2000
Kesha,Tik Tok,2010
The Black Eyed Peas,Imma Be,2010
Taio Cruz featuring Ludacris,Break Your Heart,2010
Rihanna,Rude Boy,2010
B.o.B featuring Bruno Mars,Nothin' on You,2010
Usher featuring will.i.am,OMG,2010
Eminem,Not Afraid,2010
Katy Perry featuring Snoop Dogg,California Gurls,2010
Eminem featuring Rihanna,Love the Way You Lie,2010
Katy Perry,Teenage Dream,2010
Bruno Mars,Just the Way You Are,2010
Far East Movement featuring The Cataracs and Dev,Like a G6,2010
Kesha,We R Who We R,2010
Rihanna featuring Drake,What's My Name?,2010
Rihanna,Only Girl (In the World),2010
Pink,Raise Your Glass,2010
Katy Perry,Firework,2010
Bruno Mars,Grenade,2010
Britney Spears,Hold It Against Me,2010
Wiz Khalifa,Black and Yellow,2010
Lady Gaga,Born This Way,2010
Katy Perry featuring Kanye West,E.T.,2010
Rihanna featuring Britney Spears[26],S&M,2010
Adele,Rolling in the Deep,2010
"Pitbull featuring Ne-Yo, Afrojack and Nayer",Give Me Everything,2010
LMFAO featuring Lauren Bennett and GoonRock,Party Rock Anthem,2010
Katy Perry,Last Friday Night (T.G.I.F.),2010
Maroon 5 featuring Christina Aguilera,Moves Like Jagger,2010
Adele,Someone Like You,2010
Rihanna featuring Calvin Harris,We Found Love,2010
LMFAO,Sexy and I Know It,2010
Adele,Set Fire to the Rain,2010
Kelly Clarkson,Stronger (What Doesn't Kill You),2010
Katy Perry,Part of Me,2010
Fun featuring Janelle Monáe,We Are Young,2010
Gotye featuring Kimbra,Somebody That I Used to Know,2010
Carly Rae Jepsen,Call Me Maybe,2010
Flo Rida,Whistle,2010
Taylor Swift,We Are Never Ever Getting Back Together,2010
Maroon 5,One More Night,2010
Rihanna,Diamonds,2010
Bruno Mars,Locked Out of Heaven,2010
Macklemore & Ryan Lewis featuring Wanz,Thrift Shop,2010
Baauer,Harlem Shake,2010
Bruno Mars,When I Was Your Man,2010
Pink featuring Nate Ruess,Just Give Me a Reason,2010
Macklemore & Ryan Lewis featuring Ray Dalton,Can't Hold Us,2010
Robin Thicke featuring T.I. and Pharrell,Blurred Lines,2010
Katy Perry,Roar,2010
Miley Cyrus,Wrecking Ball,2010
Lorde,Royals,2010
Eminem featuring Rihanna,The Monster,2010
Pitbull featuring Kesha,Timber,2010
Katy Perry featuring Juicy J,Dark Horse,2010
Pharrell Williams,Happy,2010
John Legend,All of Me,2010
Iggy Azalea featuring Charli XCX,Fancy,2010
Magic!,Rude,2010
Taylor Swift,Shake It Off,2010
Meghan Trainor,All About That Bass,2010
Taylor Swift,Blank Space,2010
Mark Ronson featuring Bruno Mars,Uptown Funk,2010
Wiz Khalifa featuring Charlie Puth,See You Again,2010
Taylor Swift featuring Kendrick Lamar,Bad Blood,2010
Omi,Cheerleader,2010
The Weeknd,Can't Feel My Face,2010
Justin Bieber,What Do You Mean?,2010
The Weeknd,The Hills,2010
Adele,Hello,2010
Justin Bieber,Sorry,2010
Justin Bieber,Love Yourself,2010
Zayn,Pillowtalk,2010
Rihanna featuring Drake,Work,2010
Desiigner,Panda,2010
Drake featuring WizKid and Kyla,One Dance,2010
Justin Timberlake,Can't Stop the Feeling!,2010
Sia featuring Sean Paul,Cheap Thrills,2010
The Chainsmokers featuring Halsey,Closer,2010
Rae Sremmurd featuring Gucci Mane,Black Beatles,2010
The Weeknd featuring Daft Punk,Starboy,2010
Migos featuring Lil Uzi Vert,Bad and Boujee,2010
Ed Sheeran,Shape of You,2010
Kendrick Lamar,Humble,2010
Bruno Mars,That's What I Like,2010
"DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne",I'm the One,2010
Luis Fonsi and Daddy Yankee featuring Justin Bieber,Despacito,2010
Taylor Swift,Look What You Made Me Do,2010
Cardi B,Bodak Yellow,2010
Post Malone featuring 21 Savage,Rockstar,2010
Ed Sheeran solo or duet with Beyoncé1,Perfect,2010
Camila Cabello featuring Young Thug,Havana,2010
Drake,God's Plan,2010
Drake,Nice for What,2010
Childish Gambino,This Is America,2010
Post Malone featuring Ty Dolla Sign,Psycho,2010
XXXTentacion,Sad!,2010
"Cardi B, Bad Bunny and J Balvin",I Like It,2010
Drake,In My Feelings,2010
Maroon 5 featuring Cardi B,Girls Like You,2010
Ariana Grande,"Thank U, Next",2010
Travis Scott,Sicko Mode,2010
Halsey,Without Me,2010
Post Malone and Swae Lee,Sunflower,2010
Ariana Grande,7 Rings,2010
Lady Gaga and Bradley Cooper,Shallow,2010
Jonas Brothers,Sucker,2010
Lil Nas X solo or featuring Billy Ray Cyrus2,Old Town Road,2010
Billie Eilish,Bad Guy,2010
Shawn Mendes and Camila Cabello,Señorita,2010
Lizzo,Truth Hurts,2010
Travis Scott,Highest in the Room,2010
Lewis Capaldi,Someone You Loved,2010
Selena Gomez,Lose You to Love Me,2010
Post Malone,Circles,2010
The Weeknd,Heartless,2010
Mariah Carey,All I Want for Christmas Is You,2010
